# x,y,z,is_reachable
-0.288,-0.244,-0.051,1.0
-0.288,-0.244,-0.051,1.0
0.437,-0.082,-0.038,1.0
0.437,-0.082,-0.038,1.0
-0.288,-0.170,-0.051,0.0
-0.288,-0.170,-0.051,0.0
-0.013,-0.351,0.036,1.0
-0.013,-0.363,0.024,1.0
0.270,0.258,0.077,1.0
-0.488,-0.088,0.412,1.0
0.074,-0.363,0.024,1.0
0.074,-0.363,0.024,1.0
0.437,-0.132,-0.038,1.0
0.437,-0.132,-0.038,1.0
-0.011,-0.153,0.433,1.0
-0.488,-0.226,0.450,0.0
-0.011,-0.153,0.433,1.0
-0.220,-0.176,0.021,0.0
-0.019,-0.592,-0.001,0.0
0.346,0.196,-0.022,1.0
0.124,-0.288,0.625,1.0
0.362,-0.025,0.011,1.0
-0.326,0.025,0.062,0.0
0.180,-0.282,0.168,1.0
-0.513,0.087,0.387,1.0
-0.513,0.087,0.387,1.0
0.346,0.196,-0.022,1.0
-0.451,-0.376,0.199,1.0
-0.152,-0.570,0.101,1.0
0.418,-0.344,0.368,1.0
0.259,-0.022,0.240,1.0
-0.264,0.168,0.021,1.0
-0.438,0.112,0.174,1.0
-0.282,-0.445,0.418,1.0
0.128,-0.572,0.286,1.0
0.124,-0.288,0.625,1.0
0.340,-0.056,0.384,1.0
0.305,0.005,0.474,1.0
-0.290,-0.546,0.096,0.0
-0.350,0.041,0.400,1.0
-0.326,0.025,0.062,1.0
-0.011,-0.153,0.433,1.0
0.318,0.243,-0.032,1.0
-0.407,0.149,-0.023,1.0
-0.011,-0.153,0.433,1.0
0.275,-0.025,0.587,1.0
0.505,-0.132,0.018,1.0
-0.300,0.174,0.099,1.0
-0.019,-0.592,-0.001,0.0
-0.110,-0.147,0.657,1.0
0.024,-0.326,0.211,1.0
0.362,-0.426,0.312,1.0
0.259,-0.022,0.240,1.0
0.556,-0.065,0.101,1.0
0.569,0.026,0.329,0.0
-0.437,0.072,0.456,1.0
-0.401,-0.432,0.275,1.0
0.546,-0.185,0.196,1.0
0.018,-0.432,0.555,1.0
-0.401,-0.432,0.275,1.0
-0.254,0.071,0.171,1.0
-0.220,-0.482,0.406,1.0
0.546,-0.185,0.196,1.0
0.524,-0.019,0.056,1.0
0.331,0.281,-0.007,0.0
-0.458,-0.342,0.175,1.0
-0.254,0.071,0.171,0.0
0.211,-0.476,0.412,1.0
-0.254,0.071,0.171,0.0
-0.144,-0.535,0.011,1.0
-0.301,-0.451,0.049,1.0
0.018,-0.432,0.555,1.0
0.193,-0.570,0.143,1.0
0.316,0.262,0.057,0.0
-0.471,-0.328,0.133,1.0
-0.254,0.071,0.171,1.0
-0.301,0.174,0.030,1.0
-0.122,-0.378,-0.059,0.0
-0.071,-0.040,0.575,1.0
-0.426,-0.376,0.275,1.0
-0.144,-0.535,0.011,1.0
-0.426,-0.376,0.275,1.0
-0.226,-0.476,0.412,1.0
-0.564,-0.038,0.186,1.0
-0.301,-0.451,0.049,1.0
0.218,-0.332,0.555,1.0
0.205,-0.469,0.418,1.0
0.555,-0.157,0.193,1.0
-0.220,-0.557,0.193,1.0
-0.401,0.013,0.023,1.0
-0.572,-0.092,0.128,1.0
-0.354,-0.470,0.101,1.0
0.218,-0.369,0.518,1.0
0.275,-0.138,0.625,1.0
-0.431,0.066,0.386,1.0
-0.098,-0.378,-0.059,0.0
-0.108,-0.228,0.675,1.0
-0.244,-0.007,0.243,1.0
-0.328,-0.471,0.096,1.0
-0.195,-0.132,0.680,0.0
-0.001,-0.001,0.612,1.0
0.163,0.316,0.138,0.0
-0.431,0.066,0.386,1.0
0.218,-0.469,0.418,1.0
0.557,-0.097,0.133,1.0
0.531,-0.177,0.316,1.0
0.256,0.318,-0.044,0.0
-0.195,-0.132,0.680,0.0
0.555,-0.157,0.193,1.0
0.557,-0.147,0.288,1.0
-0.475,0.124,0.262,0.0
-0.369,0.231,0.018,1.0
0.373,0.072,0.184,1.0
-0.438,0.162,0.124,1.0
-0.432,-0.369,0.305,1.0
-0.232,-0.557,0.168,1.0
-0.376,-0.189,0.511,1.0
-0.563,-0.113,0.149,1.0
-0.426,-0.376,0.287,1.0
-0.101,-0.363,0.024,1.0
-0.195,-0.132,0.680,0.0
-0.025,-0.326,0.211,1.0
0.168,-0.244,0.268,1.0
0.218,0.205,0.005,1.0
-0.101,-0.363,0.011,1.0
-0.207,0.281,0.043,1.0
0.088,-0.587,0.088,1.0
0.099,-0.062,0.546,1.0
-0.582,-0.082,0.143,1.0
-0.570,0.056,0.168,1.0
-0.570,0.056,0.218,1.0
